model,fast,slow,total_return,cagr,max_drawdown,ann_vol,sharpe,sortino,calmar,n_entries,n_exits,n_flips,n_round_trips,avg_hold_bars,median_hold_bars,turnover,round_trip_bps,lag,trend_period
best_hist_in_sample,40,71,-0.06020911911687998,-0.012672619489245585,-0.23324075355456908,0.10150552096747059,-0.07490581200736676,-0.07091523766914366,-0.05433278402730205,1004,1004,54,1004,59.57868525896414,26.5,0.01796356350917704,2.0,1,200
best_mc_robust,40,67,-0.0968554343892285,-0.020705141966568363,-0.2438984494054618,0.10076603497090675,-0.15726237344849403,-0.14708054368983897,-0.08489247068622281,1003,1003,54,1003,59.190428713858424,26.0,0.017946584715690102,2.0,1,200
