fast_period,slow_period,total_return,cagr,max_drawdown,ann_vol,sharpe,sortino,calmar,n_entries,n_exits,n_flips,n_round_trips,avg_hold_bars,median_hold_bars,turnover,round_trip_bps,trend_period,lag
39,67,1.6676042566586986,0.061315190957703436,-0.23216669446104254,0.13141406745265544,0.518490980891266,0.4722001854608918,0.2640998576477217,3159,3158,183,3158,64.20291231402342,29.0,0.016754454358339246,2.0,200,1
37,63,1.7555182045919473,0.06340439414505838,-0.24020561650018157,0.13240873554272184,0.5304388453776919,0.48352705788167905,0.2639588327236739,3279,3279,194,3279,61.92711192436718,28.0,0.017413802180611164,2.0,200,1
40,70,1.624807751318564,0.060274652109604476,-0.2283839979343112,0.13087670963223152,0.5125895921344433,0.46706379660840847,0.26391801813952365,3103,3102,174,3102,65.62391234289397,30.0,0.016428540986113585,2.0,200,1
40,57,1.5316805639755686,0.05795418640078931,-0.21973411337890936,0.13172209251646505,0.49350626114350327,0.44740877641926174,0.2637468780318746,3264,3264,187,3264,61.626838235294116,28.0,0.017303493039242477,2.0,200,1
32,75,1.5867447956376335,0.05933572495769979,-0.2253334745070006,0.1325888840076835,0.5009860513593908,0.4602605918470672,0.26332405820980836,3253,3252,219,3252,63.26836766062097,28.0,0.01740628110279057,2.0,200,1
39,61,1.792691514253085,0.06426900877379071,-0.24409573788673478,0.132452907230644,0.536442161827135,0.4894726476361489,0.26329426859395966,3257,3257,195,3257,62.480503530856616,29.0,0.01730850709112287,2.0,200,1
38,71,1.5254451482921452,0.05779596725308633,-0.2195131031224936,0.13132019736734188,0.49347497596988715,0.45105612154758845,0.2632916506165684,3158,3157,200,3157,64.5975300823306,29.0,0.01683467918842556,2.0,200,1
35,67,1.840212964926529,0.06535870146236844,-0.24844332644056955,0.13272949875550358,0.5433106758537565,0.4973068989550522,0.263072880236946,3289,3289,200,3289,62.224688355123135,28.0,0.01749402701069748,2.0,200,1
36,78,1.43924294898599,0.05557021205092938,-0.21251895774680196,0.13096907087396892,0.4783641797987554,0.43800829228892846,0.2614835525268127,3114,3113,174,3113,65.65542710340398,29.0,0.016483695556797927,2.0,200,1
38,61,1.6420409567976235,0.06069555713862096,-0.2325319158511595,0.13211902971210426,0.5120072996522723,0.465453215752151,0.2610203288286299,3276,3276,183,3276,61.78540903540904,28.0,0.017343605454285635,2.0,200,1
38,60,1.4370843190352955,0.055513532862568216,-0.212894464612151,0.13180405708940363,0.47575852995937556,0.43130002133041884,0.26075611201870474,3285,3285,192,3285,61.31232876712329,27.0,0.01743385838813274,2.0,200,1
36,66,1.7475842761698468,0.06321844069976379,-0.24262381712623615,0.1323662715410155,0.5292459501017525,0.48382887370903005,0.26056156171540035,3268,3268,201,3268,62.526009791921666,28.0,0.017393745973089583,2.0,200,1
40,66,1.616763509665565,0.060077289588130744,-0.230634623060348,0.13148193893771745,0.5094151013918887,0.4638007308622936,0.2604868635547876,3146,3145,187,3145,64.50953591862682,29.0,0.01670932789141569,2.0,200,1
37,64,1.7901177888155249,0.06420949582086477,-0.24722057632586125,0.1325480867226348,0.5357303091199092,0.4892450112305105,0.2597255324582299,3266,3266,201,3266,62.42712798530312,28.0,0.017383717869328793,2.0,200,1
34,66,1.7460149261661746,0.06318159891984321,-0.2435760679921326,0.1323464267357843,0.5290430663428258,0.48189854040621016,0.25939165304977313,3307,3307,185,3307,61.30662231629876,27.0,0.017509069166338664,2.0,200,1
36,76,1.6826437815457473,0.061677135925966464,-0.2382068452203795,0.13120877245785145,0.5216967239123965,0.47823126053535747,0.2589226009391344,3149,3148,181,3148,65.06255954271197,28.0,0.016694285735774507,2.0,200,1
39,59,1.4712124550777368,0.05640416527727732,-0.21784598457872262,0.13182323432723025,0.4821065118846613,0.4375609390167884,0.25891762653488176,3274,3274,193,3274,61.58979841172877,28.0,0.017383717869328793,2.0,200,1
35,80,1.4217637639920007,0.05510990034429897,-0.21317281944116206,0.13121252298399935,0.47439542512709343,0.4351787585297442,0.2585221722392703,3139,3138,179,3138,65.30232558139535,29.0,0.016634117113209772,2.0,200,1
40,73,1.468794415197582,0.0563414438506864,-0.21806485752030502,0.13072956508450453,0.48458765302048384,0.4424637287282727,0.2583701220424304,3081,3080,165,3080,66.05387861084064,30.0,0.016273105377821343,2.0,200,1
34,64,1.4386457159279007,0.05555453520705744,-0.2152890426133902,0.1318470050730289,0.47594422973998235,0.43178780553822305,0.25804627366391636,3321,3321,193,3321,60.806082505269494,27.0,0.01761937830770735,2.0,200,1
39,60,1.6454736165811163,0.0607790885597419,-0.23613319887801143,0.1320820807933528,0.5127098118785125,0.46584493779203884,0.25739323758173,3258,3258,182,3258,62.07059545733579,28.0,0.017248338468558135,2.0,200,1
32,74,1.6568149475243614,0.061054350009059455,-0.23720310613531492,0.13268731418004376,0.5129307689146813,0.47149854523686385,0.25739270873725567,3262,3261,221,3261,63.31667688534641,28.0,0.017461435673474912,2.0,200,1
36,79,1.4018172640663864,0.05458078403050837,-0.21230450212527507,0.1311677592080675,0.4706881447253168,0.43171161873274627,0.2570872660924625,3128,3127,168,3127,65.51918158567774,29.0,0.016523807971841085,2.0,200,1
38,68,1.5376356078855018,0.05810494995519111,-0.22645170384111624,0.1314144717415009,0.49543833357016304,0.45105285233116055,0.2565887073031647,3179,3178,177,3178,63.7867253853413,28.0,0.016824651084664775,2.0,200,1
38,76,1.4398318787822064,0.055585667411125916,-0.21666161672187034,0.13090246223120555,0.4786524614531941,0.43783099075555737,0.25655521384981417,3104,3103,167,3103,65.69684278350516,29.0,0.016398456674831214,2.0,200,1
37,71,1.6068501051925774,0.059833282400118426,-0.23343252362229183,0.13175964583356478,0.5068715965722468,0.4632232770760055,0.2563193914526339,3169,3168,203,3168,64.44114862732724,28.0,0.01690487591475109,2.0,200,1
39,58,1.434656678628214,0.055449733894055164,-0.2164788988266534,0.13157232275934153,0.47590806356194476,0.4307754826824101,0.2561438283112149,3272,3272,187,3272,61.456601466992666,28.0,0.017343605454285635,2.0,200,1
37,72,1.5777172963330894,0.05911113353639563,-0.231051697259552,0.13140890632684982,0.5026859465336725,0.4598206784612338,0.2558350976751022,3176,3175,194,3175,64.29785894206549,28.0,0.0168948478109903,2.0,200,1
33,73,1.5631944110419704,0.05874826959163748,-0.23006539841508566,0.13233177946769248,0.49751064034946585,0.45644734075286403,0.25535465131372526,3254,3253,214,3253,63.05531653349723,28.0,0.01738622489526899,2.0,200,1
